,Week,Price,Sales,Remaining,foresight,Choice,diff,revenue,perfect,Attempt
9,10,36,129,876,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
10,11,36,314,562,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
11,12,36,116,446,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
12,13,36,148,298,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
13,14,36,171,127,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
14,15,36,127,0,"Your revenue: $81,000, Perfect foresight strategy: $81,912, Difference: 1.1%",3,1.1,81000.0,81912.0,3
0,1,60,48,1952,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",0,0.0,70884.0,70884.0,4
1,2,36,82,1870,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
2,3,36,116,1754,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
3,4,36,192,1562,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
4,5,36,113,1449,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
5,6,36,107,1342,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
6,7,36,174,1168,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
7,8,36,164,1004,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
8,9,36,165,839,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
9,10,36,79,760,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
10,11,36,143,617,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
11,12,36,166,451,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
12,13,36,131,320,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
13,14,36,143,177,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
14,15,36,114,63,"Your revenue: $70,884, Perfect foresight strategy: $70,884, Difference: 0.0%",3,0.0,70884.0,70884.0,4
0,1,60,59,1941,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",0,3.3,81816.0,84624.0,5
1,2,48,143,1798,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
2,3,48,101,1697,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
3,4,48,111,1586,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
4,5,48,106,1480,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
5,6,48,161,1319,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
6,7,48,78,1241,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",2,3.3,81816.0,84624.0,5
7,8,36,136,1105,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
8,9,36,238,867,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
9,10,36,174,693,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
10,11,36,158,535,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
11,12,36,270,265,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
12,13,36,127,138,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
13,14,36,138,0,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
14,15,36,0,0,"Your revenue: $81,816, Perfect foresight strategy: $84,624, Difference: 3.3%",3,3.3,81816.0,84624.0,5
0,1,60,140,1860,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
1,2,60,152,1708,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
2,3,60,161,1547,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
3,4,60,155,1392,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
4,5,60,154,1238,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
5,6,60,118,1120,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
6,7,60,149,971,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
7,8,60,174,797,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
8,9,60,149,648,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
9,10,60,171,477,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
10,11,60,198,279,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
11,12,60,116,163,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
12,13,60,163,0,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
13,14,60,0,0,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
14,15,60,0,0,"Your revenue: $120,000, Perfect foresight strategy: $120,000, Difference: 0.0%",0,0.0,120000.0,120000.0,6
0,1,60,99,1901,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",0,1.7,107910.0,109794.0,7
1,2,54,92,1809,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
2,3,54,191,1618,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
3,4,54,163,1455,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
4,5,54,180,1275,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
5,6,54,166,1109,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
6,7,54,160,949,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
7,8,54,93,856,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
8,9,54,172,684,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
9,10,54,139,545,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
10,11,54,187,358,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
11,12,54,140,218,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
12,13,54,104,114,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",1,1.7,107910.0,109794.0,7
13,14,48,114,0,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",2,1.7,107910.0,109794.0,7
14,15,48,0,0,"Your revenue: $107,910, Perfect foresight strategy: $109,794, Difference: 1.7%",2,1.7,107910.0,109794.0,7
0,1,60,113,1887,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
1,2,60,134,1753,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
2,3,60,104,1649,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
3,4,60,120,1529,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
4,5,60,110,1419,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
5,6,60,95,1324,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
6,7,60,75,1249,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
7,8,60,103,1146,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",0,4.7,103674.0,108792.0,8
8,9,54,161,985,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
9,10,54,94,891,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
10,11,54,129,762,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
11,12,54,171,591,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
12,13,54,138,453,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
13,14,54,134,319,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",1,4.7,103674.0,108792.0,8
14,15,48,162,157,"Your revenue: $103,674, Perfect foresight strategy: $108,792, Difference: 4.7%",2,4.7,103674.0,108792.0,8
0,1,60,45,1955,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",0,0.0,73080.0,73116.0,9
1,2,36,139,1816,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
2,3,36,162,1654,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
3,4,36,135,1519,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
4,5,36,110,1409,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
5,6,36,172,1237,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
6,7,36,160,1077,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
7,8,36,134,943,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
8,9,36,87,856,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
9,10,36,145,711,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
10,11,36,133,578,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
11,12,36,127,451,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
12,13,36,204,247,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
13,14,36,154,93,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
14,15,36,93,0,"Your revenue: $73,080, Perfect foresight strategy: $73,116, Difference: 0.0%",3,0.0,73080.0,73116.0,9
0,1,60,72,1928,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",0,1.4,92496.0,93780.0,10
1,2,48,104,1824,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
2,3,48,138,1686,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
3,4,48,131,1555,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
4,5,48,180,1375,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
5,6,48,70,1305,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
6,7,48,111,1194,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
7,8,48,107,1087,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
8,9,48,90,997,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
9,10,48,201,796,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
10,11,48,128,668,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
11,12,48,147,521,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
12,13,48,157,364,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",2,1.4,92496.0,93780.0,10
13,14,36,195,169,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",3,1.4,92496.0,93780.0,10
14,15,36,169,0,"Your revenue: $92,496, Perfect foresight strategy: $93,780, Difference: 1.4%",3,1.4,92496.0,93780.0,10
0,1,60,78,1922,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",0,0.9,93624.0,94452.0,11
1,2,48,138,1784,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
2,3,48,167,1617,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
3,4,48,102,1515,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
4,5,48,105,1410,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
5,6,48,146,1264,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
6,7,48,148,1116,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
7,8,48,138,978,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
8,9,48,124,854,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
9,10,48,209,645,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
10,11,48,105,540,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
11,12,48,115,425,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
12,13,48,104,321,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
13,14,48,168,153,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
14,15,48,84,69,"Your revenue: $93,624, Perfect foresight strategy: $94,452, Difference: 0.9%",2,0.9,93624.0,94452.0,11
0,1,60,93,1907,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",0,9.1,88446.0,97326.0,12
1,2,54,123,1784,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
2,3,54,115,1669,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
3,4,54,65,1604,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
4,5,54,138,1466,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
5,6,54,87,1379,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
6,7,54,67,1312,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
7,8,54,162,1150,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
8,9,54,62,1088,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
9,10,54,144,944,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",1,9.1,88446.0,97326.0,12
10,11,48,137,807,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",2,9.1,88446.0,97326.0,12
11,12,48,176,631,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",2,9.1,88446.0,97326.0,12
12,13,48,80,551,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",2,9.1,88446.0,97326.0,12
13,14,48,64,487,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",2,9.1,88446.0,97326.0,12
14,15,48,186,301,"Your revenue: $88,446, Perfect foresight strategy: $97,326, Difference: 9.1%",2,9.1,88446.0,97326.0,12
0,1,60,70,1930,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",0,1.6,84300.0,85692.0,13
1,2,48,85,1845,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
2,3,48,129,1716,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
3,4,48,87,1629,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
4,5,48,129,1500,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
5,6,48,158,1342,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
6,7,48,151,1191,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
7,8,48,48,1143,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
8,9,48,75,1068,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
9,10,48,139,929,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
10,11,48,115,814,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
11,12,48,63,751,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",2,1.6,84300.0,85692.0,13
12,13,36,233,518,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",3,1.6,84300.0,85692.0,13
13,14,36,165,353,"Your revenue: $84,300, Perfect foresight strategy: $85,692, Difference: 1.6%",3,1.6,84300.0,85692.0,13
